                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1743,                0.99345,                0.99989,                 2.4499,              0.0035041,              0.0035041,              0.0035041
                      2,                0.23857,                0.99816,                0.99994,                 2.4322,              0.0063154,              0.0063154,              0.0063154
                      3,                0.24266,                0.99644,                0.99989,                 2.4333,              0.0080204,              0.0080204,              0.0080204
                      4,                0.20865,                0.99885,                      1,                 2.4284,              0.0070306,              0.0070306,              0.0070306
                      5,                0.14829,                0.99954,                0.99994,                 2.4268,              0.0060408,              0.0060408,              0.0060408
                      6,                 0.1115,                 0.9996,                      1,                 2.4265,              0.0050511,              0.0050511,              0.0050511
                      7,                 0.0871,                      1,                      1,                 2.4263,              0.0040613,              0.0040613,              0.0040613
                      8,                0.07635,                0.99994,                      1,                 2.4261,              0.0030715,              0.0030715,              0.0030715
                      9,                 0.0623,                0.99994,                      1,                  2.426,              0.0020817,              0.0020817,              0.0020817
                     10,                  0.051,                0.99994,                      1,                 2.4259,              0.0010919,              0.0010919,              0.0010919
